source,target,correlation,lag,abs_correlation,empirical_p,sample_size,validated
GW-12,GW-7,0.9694844184570017,0,0.9694844184570017,0.0,932,True
GW-1,GW-5,0.9673910585288984,0,0.9673910585288984,0.0,1072,True
GW-1,GW-12,0.9655954919194956,0,0.9655954919194956,0.0,1072,True
GW-12,GW-6,0.962953433258664,0,0.962953433258664,0.0,1072,True
GW-7,GW-14,0.9600563919467706,1,0.9600563919467706,0.0,931,True
GW-10,GW-9,0.9599285374239428,0,0.9599285374239428,0.0,1072,True
GW-13,GW-5,0.9587924234979075,0,0.9587924234979075,0.0,1072,True
GW-15,GW-6,0.9584994750784772,0,0.9584994750784772,0.0,1072,True
GW-12,GW-5,0.9582932585034247,0,0.9582932585034247,0.0,1072,True
GW-12,GW-13,0.9578214146046982,0,0.9578214146046982,0.0,1072,True
GW-10,GW-7,0.9554791135802949,0,0.9554791135802949,0.0,932,True
GW-6,GW-7,0.9519947050519637,0,0.9519947050519637,0.0,932,True
GW-1,GW-13,0.9518256704816755,0,0.9518256704816755,0.0,1072,True
GW-10,GW-12,0.9503008233453519,0,0.9503008233453519,0.0,1072,True
GW-10,GW-6,0.9502730786412026,0,0.9502730786412026,0.0,1072,True
GW-8,GW-9,0.9486825868987898,0,0.9486825868987898,0.0,1072,True
GW-1,GW-7,0.9483722945015625,0,0.9483722945015625,0.0,932,True
GW-7,GW-8,0.9481620863289775,0,0.9481620863289775,0.0,932,True
GW-10,GW-15,0.948049334899528,0,0.948049334899528,0.0,1072,True
GW-11,GW-12,0.9454069560197628,0,0.9454069560197628,0.0,1072,True
GW-12,GW-14,0.9443529948467337,2,0.9443529948467337,0.0,1070,True
GW-10,GW-5,0.9442609843178139,0,0.9442609843178139,0.0,1072,True
GW-12,GW-15,0.9438738824801696,1,0.9438738824801696,0.0,1071,True
GW-10,GW-8,0.9437191230940117,0,0.9437191230940117,0.0,1072,True
GW-1,GW-11,0.9418395076232864,0,0.9418395076232864,0.0,1072,True
GW-6,GW-9,0.9401814561677283,0,0.9401814561677283,0.0,1072,True
GW-1,GW-6,0.9395216356557531,0,0.9395216356557531,0.0,1072,True
GW-10,GW-14,0.9381792491808971,1,0.9381792491808971,0.0,1071,True
GW-12,GW-9,0.93793426823424,0,0.93793426823424,0.0,1072,True
GW-5,GW-7,0.93712470272328,0,0.93712470272328,0.0,932,True
GW-6,GW-14,0.9367672092325372,1,0.9367672092325372,0.0,1071,True
GW-15,GW-9,0.9356268023654579,0,0.9356268023654579,0.0,1072,True
GW-8,GW-14,0.934633942377302,1,0.934633942377302,0.0,1071,True
GW-12,GW-8,0.934633202443994,0,0.934633202443994,0.0,1072,True
GW-1,GW-14,0.9342009636474817,1,0.9342009636474817,0.0,1071,True
GW-13,GW-6,0.9339526600869328,0,0.9339526600869328,0.0,1072,True
GW-11,GW-13,0.9331640835555164,0,0.9331640835555164,0.0,1072,True
GW-5,GW-6,0.9318551180968779,0,0.9318551180968779,0.0,1072,True
GW-7,GW-9,0.9298808810633792,0,0.9298808810633792,0.0,932,True
GW-1,GW-2,0.9291426761095934,2,0.9291426761095934,0.0,1070,True
GW-11,GW-5,0.9282545958057129,0,0.9282545958057129,0.0,1072,True
GW-5,GW-14,0.9281993136864024,2,0.9281993136864024,0.0,1070,True
GW-1,GW-10,0.9281989241412816,0,0.9281989241412816,0.0,1072,True
GW-9,GW-14,0.9280028140442278,1,0.9280028140442278,0.0,1071,True
GW-5,GW-8,0.9276905092775404,0,0.9276905092775404,0.0,1072,True
GW-2,GW-6,0.9266116636544675,0,0.9266116636544675,0.0,1072,True
GW-12,GW-3,0.9264918668938202,2,0.9264918668938202,0.0,1070,True
GW-1,GW-9,0.9263473859342488,0,0.9263473859342488,0.0,1072,True
GW-13,GW-4,0.9262625654354306,1,0.9262625654354306,0.0,1071,True
GW-15,GW-7,0.925210406944067,0,0.925210406944067,0.0,932,True
GW-1,GW-3,0.9248645345784742,0,0.9248645345784742,0.0,1072,True
GW-14,GW-2,0.9248130239176248,0,0.9248130239176248,0.0,1072,True
GW-6,GW-8,0.9227520712277779,0,0.9227520712277779,0.0,1072,True
GW-5,GW-9,0.9221786672009672,0,0.9221786672009672,0.0,1072,True
GW-13,GW-7,0.9196462785053642,0,0.9196462785053642,0.0,932,True
GW-11,GW-6,0.919555658737303,0,0.919555658737303,0.0,1072,True
GW-1,GW-8,0.919014716694518,0,0.919014716694518,0.0,1072,True
GW-14,GW-15,0.9180103850378061,0,0.9180103850378061,0.0,1072,True
GW-13,GW-2,0.9162328118046428,4,0.9162328118046428,0.0,1068,True
GW-1,GW-15,0.9148487937664569,0,0.9148487937664569,0.0,1072,True
GW-12,GW-2,0.9146895264592073,2,0.9146895264592073,0.0,1070,True
GW-10,GW-11,0.9146705986815693,0,0.9146705986815693,0.0,1072,True
GW-13,GW-3,0.9126846585763082,0,0.9126846585763082,0.0,1072,True
GW-2,GW-3,0.9121950586935765,0,0.9121950586935765,0.0,1072,True
GW-11,GW-9,0.9109976740296101,0,0.9109976740296101,0.0,1072,True
GW-11,GW-7,0.9105553882679547,0,0.9105553882679547,0.0,932,True
GW-13,GW-14,0.9099947433058744,5,0.9099947433058744,0.0,1067,True
GW-15,GW-8,0.9077715861220275,0,0.9077715861220275,0.0,1072,True
GW-9,GW-2,0.9076155067835965,1,0.9076155067835965,0.0,1071,True
GW-11,GW-14,0.9049247085850718,2,0.9049247085850718,0.0,1070,True
GW-7,GW-2,0.9049204815758084,1,0.9049204815758084,0.0,931,True
GW-3,GW-5,0.9040205101519287,0,0.9040205101519287,0.0,1072,True
GW-10,GW-13,0.9018278677018279,0,0.9018278677018279,0.0,1072,True
